timestamp,cpu_usage,memory_usage,pod_count,api_latency,websocket_connections,active_sessions,api_replicas,frontend_replicas,guacd_replicas
2025-06-15 19:02:16.928658,0.24,1.0,0,0.0,0,0,2,0,2
2025-06-15 19:02:27.242720,0.22300000000000003,1.0,0,4.043616056442261,0,0,2,0,2
2025-06-15 19:02:37.629615,1.6989999999999998,20.0,0,4.043616056442261,0,0,2,0,2
2025-06-15 19:02:48.010248,0.416,3.0,0,12.979543685913086,0,0,2,0,2
2025-06-15 19:02:58.407637,0.416,3.0,0,12.979543685913086,0,0,2,0,2
2025-06-15 19:03:08.789347,0.277,2.0,0,12.979543685913086,0,0,2,0,2
2025-06-15 19:03:19.374063,0.263,2.0,0,12.979543685913086,0,0,2,0,2
2025-06-15 19:03:29.753910,0.263,2.0,0,12.979543685913086,0,0,2,0,2
2025-06-15 19:03:40.127191,0.345,3.0,0,9.406291723251343,0,0,2,0,2
2025-06-15 19:03:50.710287,1.97,23.0,0,9.406291723251343,0,0,2,0,2
2025-06-15 19:04:01.317261,1.97,23.0,0,9.406291723251343,0,0,2,0,2
2025-06-15 19:04:11.689260,0.473,4.0,0,12.893546183904013,0,0,2,0,2
2025-06-15 19:04:22.054237,0.346,3.0,0,12.893546183904013,0,0,2,0,2
2025-06-15 19:04:32.461267,0.346,3.0,0,12.893546183904013,0,0,2,0,2
2025-06-15 19:04:42.734285,0.321,3.0,0,12.893546183904013,0,0,2,0,2
2025-06-15 19:04:53.245264,0.44799999999999995,4.0,0,12.893546183904013,0,0,2,0,2
2025-06-15 19:05:03.613327,0.536,5.0,0,10.680584847927094,0,0,2,0,2
2025-06-15 19:05:14.089381,0.536,5.0,0,10.680584847927094,0,0,2,0,2
