timestamp,cpu_usage,memory_usage,pod_count,api_latency,websocket_connections,active_sessions,api_replicas,frontend_replicas,guacd_replicas
2025-06-15 19:13:41.263265,0.243,1.0,0,0,0,0,2,0,2
2025-06-15 19:13:51.791231,1.129,13.0,0,0,0,0,2,0,2
2025-06-15 19:14:02.830116,16.004,199.0,0,0,0,0,2,0,2
2025-06-15 19:14:13.280584,16.004,199.0,0,0,0,0,2,0,2
2025-06-15 19:14:23.661252,13.542,169.0,0,0,0,0,2,0,2
2025-06-15 19:14:34.035587,0.885,9.0,0,0,0,0,2,0,2
2025-06-15 19:14:44.405249,0.885,9.0,0,0,0,0,2,0,2
2025-06-15 19:14:55.165405,3.9179999999999997,47.0,0,0,0,0,2,0,2
2025-06-15 19:15:05.582283,9.054,111.0,0,0,0,0,2,0,2
2025-06-15 19:15:16.284279,9.054,111.0,0,0,0,0,2,0,2
2025-06-15 19:15:26.693530,2.644,31.0,0,0,0,0,2,0,2
2025-06-15 19:15:37.107288,2.788,33.0,0,0,0,0,2,0,2
2025-06-15 19:15:47.505237,2.788,33.0,0,0,0,0,2,0,2
2025-06-15 19:15:57.895278,1.578,18.0,0,0,0,0,2,0,2
2025-06-15 19:16:08.299499,2.441,29.0,0,0,0,0,2,0,2
2025-06-15 19:16:18.623742,2.213,26.0,0,0,0,0,2,0,2
2025-06-15 19:16:29.032782,2.213,26.0,0,0,0,0,2,0,2
2025-06-15 19:16:39.406293,1.341,15.0,0,0,0,0,2,0,2
2025-06-15 19:16:49.787780,1.3579999999999999,16.0,0,0,0,0,2,0,2
2025-06-15 19:17:00.181743,1.3579999999999999,16.0,0,0,0,0,2,0,2
2025-06-15 19:17:10.574275,1.15,13.0,0,0,0,0,2,0,2
2025-06-15 19:17:20.964237,0.917,9.0,0,0,0,0,2,0,2
2025-06-15 19:17:31.337347,0.917,9.0,0,0,0,0,2,0,2
2025-06-15 19:17:41.877220,0.714,8.0,0,0,0,0,2,0,2
2025-06-15 19:17:52.157294,0.853,8.0,0,0,0,0,2,0,2
2025-06-15 19:18:02.542265,1.589,18.0,0,0,0,0,2,0,2
2025-06-15 19:18:13.087092,1.589,18.0,0,0,0,0,2,0,2
2025-06-15 19:18:23.577257,2.366,28.0,0,0,0,0,2,0,2
2025-06-15 19:18:33.999240,3.212,38.0,0,0,0,0,2,0,2
2025-06-15 19:18:44.454267,3.212,38.0,0,0,0,0,2,0,2
2025-06-15 19:18:55.117333,0.9369999999999999,10.0,0,0,0,0,2,0,2
2025-06-15 19:19:05.532342,0.839,8.0,0,0,0,0,2,0,2
2025-06-15 19:19:15.899327,0.839,8.0,0,0,0,0,2,0,2
2025-06-15 19:19:26.328280,0.591,6.0,0,0,0,0,2,0,2
2025-06-15 19:19:36.772171,0.878,10.0,0,0,0,0,2,0,2
2025-06-15 19:19:47.109885,0.878,10.0,0,0,0,0,2,0,2
2025-06-15 19:19:57.751230,0.787,8.0,0,0,0,0,2,0,2
2025-06-15 19:20:08.042242,0.798,8.0,0,0,0,0,2,0,2
2025-06-15 19:20:18.531253,0.736,7.0,0,0,0,0,2,0,2
2025-06-15 19:20:28.856282,0.736,7.0,0,0,0,0,2,0,2
2025-06-15 19:20:39.103611,0.702,7.0,0,0,0,0,2,0,2
2025-06-15 19:20:49.540129,0.624,6.0,0,0,0,0,2,0,2
2025-06-15 19:20:59.921409,0.624,6.0,0,0,0,0,2,0,2
2025-06-15 19:21:10.348522,0.637,6.0,0,0,0,0,2,0,2
2025-06-15 19:21:20.769330,0.52,5.0,0,0,0,0,2,0,2
2025-06-15 19:21:31.045879,0.52,5.0,0,0,0,0,2,0,2
2025-06-15 19:21:41.457936,0.8610000000000001,9.0,0,0,0,0,2,0,2
2025-06-15 19:21:52.091265,0.529,5.0,0,0,0,0,2,0,2
2025-06-15 19:22:02.753991,0.655,6.0,0,0,0,0,2,0,2
2025-06-15 19:22:13.288243,0.655,6.0,0,0,0,0,2,0,2
2025-06-15 19:22:23.799231,0.7,7.0,0,0,0,0,2,0,2
2025-06-15 19:22:34.261273,0.639,7.0,0,0,0,0,2,0,2
2025-06-15 19:22:44.732797,0.639,7.0,0,0,0,0,2,0,2
2025-06-15 19:22:55.386277,0.499,4.0,0,0,0,0,2,0,2
2025-06-15 19:23:05.732258,0.625,6.0,0,0,0,0,2,0,2
2025-06-15 19:23:16.051229,0.625,6.0,0,0,0,0,2,0,2
2025-06-15 19:23:26.326312,0.5,4.0,0,0,0,0,2,0,2
2025-06-15 19:23:36.649285,0.596,5.0,0,0,0,0,2,0,2
2025-06-15 19:23:47.096139,0.596,5.0,0,0,0,0,2,0,2
2025-06-15 19:23:57.387156,0.968,10.0,0,0,0,0,2,0,2
